text,label
"Very good teaching",1
"Excellent explanation",1
"Loved the way concepts were taught",1
"Faculty explains clearly",1
"Very interactive session",1
"Amazing classroom teaching",1
"Simple and easy explanation",1
"Teacher made topic interesting",1
"Best teaching style",1
"Very helpful examples",1
"Concepts are crystal clear",1
"Outstanding explanation skills",1
"Very supportive faculty",1
"Class was highly informative",1
"Easy to understand lecture",1
"Well structured teaching",1
"Teacher has strong knowledge",1
"Very engaging class",1
"Practical examples were useful",1
"Faculty is very patient",1
"Great teacher overall",1
"Loved every lecture",1
"Faculty clears doubts quickly",1
"Very knowledgeable professor",1
"Best faculty in department",1
"Enthusiastic and energetic teacher",1
"Made complex topics simple",1
"Always available for students",1
"Real world examples made it easy",1
"Encourages student participation",1
"Excellent command over subject",1
"The professor is truly inspiring",1
"Clear and concise delivery",1
"Faculty uses good teaching aids",1
"Every class was worth attending",1
"Wonderful learning experience",1
"Highly recommended faculty",1
"Best lecture I have ever attended",1
"Professor explains step by step",1
"Teaching is very systematic",1
"Great at explaining difficult concepts",1
"I look forward to every class",1
"Teaching style is very effective",1
"Faculty connects theory to practice",1
"Excellent communication skills",1
"Very motivating faculty",1
"Brings energy to every session",1
"I finally understood this topic",1
"Makes learning fun",1
"Detailed and thorough explanation",1
"Very approachable and helpful",1
"Faculty gives excellent notes",1
"Great use of whiteboard",1
"Always on time and prepared",1
"Class participation is encouraged",1
"Difficult concepts explained simply",1
"Very good rapport with students",1
"Faculty gives real examples from industry",1
"Assignments are practical and useful",1
"Teaching pace is just right",1
"Good at answering student questions",1
"Wonderful professor learned a lot",1
"Subject was made very interesting",1
"Faculty always responds to queries",1
"Great depth of knowledge",1
"Best semester because of this faculty",1
"Superb quality of teaching",1
"This professor is the reason I love this subject",1
"Well organized slides and material",1
"Teaching is passionate and clear",1
"Faculty creates a positive classroom environment",1
"Interactive and thought provoking classes",1
"Teacher provides constructive feedback",1
"Excellent mentor and guide",1
"I improved a lot this semester",1
"Great examples and case studies",1
"Professor listens to student concerns",1
"Smart Farming explained brilliantly",1
"Data Structures was made very easy",1
"I never missed a class",1
"One of the best teachers I have had",1
"Very dedicated professor",1
"Student friendly teaching approach",1
"Clears all doubts within the class",1
"Best possible teaching",1
"Great blend of theory and practice",1
"Amazing lecture delivery",1
"Faculty demonstrates strong domain expertise",1
"Notes provided are comprehensive",1
"Assignments help reinforce learning",1
"Professor is always well prepared",1
"Teaching is logical and structured",1
"Excellent analytical thinking encouraged",1
"I would recommend this faculty to everyone",1
"Faculty makes difficult problems solvable",1
"Very clear voice and presentation",1
"Impressive command over the subject matter",1
"Course was delivered exceptionally well",1
"Student questions are welcomed and answered",1
"Faculty creates a safe learning environment",1
"Highly effective teaching methodology",1
"Lab sessions were very productive",1
"Faculty was thorough in every topic",1
"My interest in the subject grew significantly",1
"Teaching improved my overall understanding",1
"Great job in making abstract ideas concrete",1
"Professor explains with enthusiasm and clarity",1
"Very positive and constructive classroom experience",1
"I feel confident about this subject now",1
"The professor brings fresh perspectives",1
"Faculty demonstrated strong industry knowledge",1
"This class genuinely improved my skills",1
"Teaching is both rigorous and engaging",1
"Professor always relates content to real problems",1
"An outstanding academic experience",1
"Well paced lectures with great depth",1
"Faculty provides helpful study tips",1
"Teaching approach is student centered",1
"Professor made us think critically",1
"Very friendly and accessible teacher",1
"Best faculty for technical subjects",1
"Course content delivered with great precision",1
"Exceptional teaching quality overall",1
"Each lecture was informative and enjoyable",1
"The professors passion for teaching is evident",1
"Teaching methodology was innovative",1
"Faculty helped me understand complex algorithms",1
"Classroom environment was always positive",1
"Very good at simplifying hard topics",1
"Teacher helped students achieve their potential",1
"Excellent grading and feedback on assignments",1
"The lectures were always engaging and fun",1
"Faculty was consistent in teaching quality",1
"Professor encouraged independent thinking",1
"Clear explanations with visual aids",1
"Inspired me to pursue further studies in this subject",1
"Class discussions were very enriching",1
"Faculty handled doubts with patience and detail",1
"Highly satisfied with the course delivery",1
"The professor delivered well researched content",1
"Teaching is impactful and memorable",1
"Really learned a lot this semester",1
"Best course experience I have had",1
"Faculty explains concepts with real case studies",1
"Interactive teaching made concepts stick",1
"Professor communicates complex ideas effortlessly",1
"Excellent academic guidance and support",1
"Faculty made exam preparation easy",1
"Class notes were well organized and useful",1
"Highly motivated by this faculty",1
"Loved the teaching energy and passion",1
"Faculty gave detailed solutions to all problems",1
"The course changed my perspective on the subject",1
"Best teacher for Data Structures",1
"NLP course was explained very well",1
"Smart Farming concepts were made practical",1
"Excellent professional attitude and conduct",1
"Superb knowledge transfer by the professor",1
"A true educator who cares about students",1
"The class atmosphere was great",1
"Professor brings out the best in students",1
"Faculty gave us assignments that helped us grow",1
"Teaching quality exceeded my expectations",1
"Very clear explanation of all topics covered",1
"The professor made every student feel valued",1
"Faculty was always encouraging and supportive",1
"Best course I took this academic year",1
"Great teacher with strong fundamentals",1
"Very helpful during exam preparation",1
"Faculty used innovative teaching methods",1
"Learning was enjoyable and effective",1
"Professor shared valuable resources and references",1
"Excellent at breaking down complex ideas",1
"Faculty communication was always clear and direct",1
"Assignments were challenging but very educational",1
"Best semester thanks to this amazing faculty",1
"Teaching approach boosted my confidence",1
"Professor clearly loves what they teach",1
"Great feedback on all submitted work",1
"Class notes were comprehensive and well organized",1
"Faculty provided excellent exam guidance",1
"The professors teaching is simply excellent",1
"Very engaging and informative classes",1
"I feel fully prepared for the exam",1
"Professor explained every topic with examples",1
"Wonderful academic experience this semester",1
"Very poor teaching",0
"Faculty does not explain clearly",0
"Very boring lecture",0
"Could not understand anything",0
"Teacher is not interested in teaching",0
"Very bad experience in class",0
"Worst faculty I have ever encountered",0
"No proper explanation given",0
"Very slow and unclear teaching",0
"Faculty comes unprepared to class",0
"Does not answer student questions",0
"Lectures are very difficult to follow",0
"No proper notes provided",0
"Faculty just reads from slides",0
"Very unhelpful in clearing doubts",0
"Worst teaching I have seen",0
"Class is always boring",0
"No real world examples given",0
"Faculty is always late to class",0
"Not approachable at all",0
"Very poor communication skills",0
"Could not follow the lecture",0
"No interaction with students",0
"Very monotone and dull delivery",0
"Faculty skips important topics",0
"Very poor course management",0
"Lab sessions were not well organized",0
"Assignments are unclear and confusing",0
"No proper structure in teaching",0
"Faculty does not care about students",0
"Class was a waste of time",0
"Could not understand a single topic",0
"Very unenthusiastic teacher",0
"Teacher has very poor knowledge",0
"Does not follow the syllabus properly",0
"Explains concepts incorrectly sometimes",0
"Very inconsistent teaching quality",0
"Faculty ignores student questions",0
"Worst class experience ever",0
"No feedback given on assignments",0
"Teacher is very rude to students",0
"Very condescending attitude",0
"Not helpful during exam preparation",0
"Faculty is never available for consultation",0
"Lecture speed is too fast to understand",0
"Notes are incomplete and poorly organized",0
"Examples given are irrelevant",0
"Very poor use of time in class",0
"Faculty does not cover important topics",0
"Teaching is very theoretical and impractical",0
"Students feel ignored in class",0
"Very low quality of explanation",0
"Faculty frequently cancels classes",0
"Concepts are explained in a confusing way",0
"No motivation to attend this class",0
"Faculty does not grade assignments fairly",0
"Very poor interaction with students",0
"I dread attending this class",0
"Nothing was made clear in the entire semester",0
"Class is completely disorganized",0
"Faculty seems disinterested in teaching",0
"Very poor understanding of student needs",0
"I learned nothing from this course",0
"Teaching style does not suit any student",0
"Faculty barely covers the syllabus",0
"Very disappointing course experience",0
"Lectures are hard to sit through",0
"Faculty does not adapt to student feedback",0
"Terrible experience in this class",0
"Professor has poor subject knowledge",0
"No effort put into teaching preparation",0
"Class discussions are unproductive",0
"Faculty gives very poor quality notes",0
"Teaching is below expected standards",0
"Assignments are unreasonably difficult",0
"Faculty does not explain after students ask",0
"I struggled throughout the semester",0
"Lectures lack depth and detail",0
"Faculty shows favoritism in grading",0
"Very unprofessional behavior in class",0
"No syllabus coverage done on time",0
"Very poor classroom management",0
"Faculty confuses students more than helps",0
"Teaching quality is very disappointing",0
"Class feels like a waste of effort",0
"Very unorganized and chaotic teaching",0
"Professor rarely finishes topics on time",0
"Explanations are often incomplete",0
"Students leave class more confused",0
"Faculty does not follow through on commitments",0
"I do not recommend this faculty to anyone",0
"Very poor support for struggling students",0
"Teaching method is outdated and ineffective",0
"No practical knowledge shared",0
"Class was rarely interactive or engaging",0
"Faculty attitude towards students is negative",0
"No value added by attending these lectures",0
"I had to rely on YouTube to learn this subject",0
"Exams were not aligned with what was taught",0
"Very unsatisfactory teaching overall",0
"Faculty does not encourage student participation",0
"Teaching was rushed and incomplete",0
"Very poor faculty for technical subjects",0
"Did not enjoy a single class this semester",0
"Worst academic experience of my life",0
"The class was okay",2
"Teaching is average",2
"Not bad but could be better",2
"Sometimes clear sometimes confusing",2
"Average teaching experience",2
"Class was neither good nor bad",2
"Teaching is decent but not great",2
"Okay experience overall",2
"Average performance by the faculty",2
"Sometimes interesting sometimes boring",2
"The lecture was fine",2
"Teaching is satisfactory but not excellent",2
"Could be improved but it is acceptable",2
"Class is manageable",2
"Average interaction with students",2
"Some topics were well explained some were not",2
"The course was okay",2
"Teaching pace is acceptable",2
"Neither impressed nor disappointed",2
"Satisfactory but nothing memorable",2
"Content was delivered adequately",2
"Decent teaching style",2
"Mixed experience throughout the semester",2
"Some classes were good some were average",2
"Acceptable quality of teaching",2
"Faculty explains most things clearly",2
"Generally okay but room for improvement",2
"Teaching is standard nothing extraordinary",2
"Moderate level of student engagement",2
"Average class participation encouraged",2
"Teaching was fine most of the time",2
